,name_set,part_num,name,freq
607,Large Wheels and Axles,2536,"Plant Tree Palm Trunk - Short Connector, no Axle Hole",1
609,Large Wheels and Axles,2711,"Technic Plate 1 x 5 with Toothed Ends, 2 Studs and Center Axle Hole",1
610,Large Wheels and Axles,2717,Technic Seat [3 x 2 Base],1
614,Large Wheels and Axles,2952,Propeller 2 Blade 9 Diameter,1
628,Large Wheels and Axles,3650c,Technic Gear 24 Tooth Crown with Reinforcements [New Style],1
648,Large Wheels and Axles,4262,Technic Plate 1 x 6 with Toothed Ends,1
649,Large Wheels and Axles,4265b,Technic Bush 1/2 Toothed Type II [X Opening],1
655,Large Wheels and Axles,6538a,Technic Axle Connector Ridged [with + Hole + Orientation],1
658,Large Wheels and Axles,75c11,"Hose, Rigid 3mm D. 11L / 8.8cm",1
3697,Krana,x469bc,Electric Motor 4.5V/12V Type II 12 x 4 x 3 1/3 Gearbox (Train),1
6228,Vintage Car,23186,Hair Swept Left Tousled,1
6229,Vintage Car,26562,Soccer Ball with Black Pentagons Print,1
6230,Vintage Car,3626cpr1928,"Head Reddish Brown Eyebrows, Chin and Moustache Stubble, White Pupils Pattern (Mario Götze) - Stud Recessed",1
6231,Vintage Car,88646pr0002,Tile Special 3 x 4 with 4 Studs in Centre with 4 Silver Stars Print,1
6232,Vintage Car,970c00pr1051,"Hips and Legs with DFB Logo with 4 Stars, Light Flesh and White Stripes, Lines on Sides Pattern",1
6233,Vintage Car,973pr3377c01,"Torso Soccer Shirt with adidas Logo, 4 Stars and Eagle Front, 'GÖTZE 19' Back Pattern / Light Flesh Arms with White Short Sleeves Pattern / Light Flesh Hands",1
15847,Helicopter Transport,18868a,Dimensions Stand - Toy Tag 4 x 4 x 2/3 with 4 Studs - Top and Bottom Same Color (Generic for Gadgets),1
15848,Helicopter Transport,19981pr0033,Dimensions Toy Tag 4 x 4 x 2/3 with 2 Studs for Zane #33 with Gold Zane Symbol and White Asian Character Print,1
15857,Helicopter Transport,3626cpr1570,"Minifig Head Dual Sided Alien with Robot Silver with Blue Eyes, Gray Eyebrows / Blue Visor with Headset and Eyepiece Print [Hollow Stud]",1
15881,Helicopter Transport,970c00pr0777,Legs and Hips with Silver Sash and White Knee Pads Print,1
15882,Helicopter Transport,973pr2858c01,"Torso Ninjago Shoulder Protection with White Straps and Gold Lion Emblem over Robes, Shurikens in Belt Print / Flat Silver Arms / Black Hands",1
15884,Helicopter Transport,98133pr0013,Minifig Ninjago Wrap with White Asian Character Print (Zane),1
15891,DK Star Wars Brickmaster: Battle For The Stolen Crystals,2815,Technic Wedge Belt Wheel Tire,1
15892,DK Star Wars Brickmaster: Battle For The Stolen Crystals,2850b,"Technic Engine Cylinder without Side Slots, with Bottom Slots",1
15911,DK Star Wars Brickmaster: Battle For The Stolen Crystals,32198,Technic Gear 20 Tooth Bevel,1
15912,DK Star Wars Brickmaster: Battle For The Stolen Crystals,32269,Technic Gear 20 Tooth Double Bevel with Axle Hole Type 2 [X Opening],1
15935,DK Star Wars Brickmaster: Battle For The Stolen Crystals,55615,Technic Pin Connector Hub Perpendicular 3 x 3 Bent with 4 Pins,1
15947,DK Star Wars Brickmaster: Battle For The Stolen Crystals,75c12,"Hose, Rigid 3mm D. 12L / 9.6cm",1
15950,DK Star Wars Brickmaster: Battle For The Stolen Crystals,78c09,"Hose, Ribbed 7mm D. 9L",1
18744,Delivery Van,3048a,Slope 45° 2 x 1 Triple with Hollow Underside,1
18746,Delivery Van,962,Slope 45° 2 x 2 Double Convex / Double Concave,1
18782,Police Car,30217,"Belville, Clothes Hat, Woman's Wide Brim",1
18786,Police Car,33202px1,Belville Horse Carriage Base with Crown and Flower Heart Print,1
18787,Police Car,33209,Belville Horse Wagon Hitch,1
18788,Police Car,33210,Belville Horse Harness with Shafts,1
18789,Police Car,33211,Wheel Wagon Huge (43mm D.),1
18790,Police Car,33212,"Wheel Wagon Giant (56mm D., 7 studs Dia.)",1
18791,Police Car,33243px1,"Brick, Modified 1 x 3 x 2 with Curved Top and Rose Print",1
18805,Police Car,4429,Minifig Flask with Handle,1
18810,Police Car,4740pb01,Dish 2 x 2 Inverted (Radar) with Lace and Flower Print,1
18815,Police Car,6171pr01,Horse (Belville) with Blue Eyes and Gold Stars Print,1
18818,Police Car,6184,"Brick, Arch 1 x 12 x 5 Curved Top",1
18823,Police Car,belvskirt18,"Belville, Clothes Skirt Long, Roses Print with 3 Rosettes & Lace Hem, with Sheer Layer",1
18824,Police Car,cloth5,Belville Cloth Bed Veil - Small,1
19367,Spyrius Fold-Wing Spacecraft,30492,Sports Field Section 8 x 8,1
19374,Spyrius Fold-Wing Spacecraft,3626bpa3,"Minifig Head Moustache Black Bangs, Striped Sideburns Print [Blocked Open Stud]",1
19375,Spyrius Fold-Wing Spacecraft,3626bpb0103,"Minifig Head Male Brown Hair, Thick Arched Eyebrows and Stubble Print [Blocked Open Stud]",1
19376,Spyrius Fold-Wing Spacecraft,3626bpx134,"Minifig Head Male Spiky Black Hair, Nose Freckles and Smirk Print [Blocked Open Stud]",1
19385,Spyrius Fold-Wing Spacecraft,41732,"Technic Pin Joiner Round with Slot, Bar and Pivot",1
19386,Spyrius Fold-Wing Spacecraft,41733,Sports Soccer Goalie Stick Holder Base,1
19388,Spyrius Fold-Wing Spacecraft,41819c01,"Sports Field Section 8 x 16 with Horizontal Slot and Sliding Holder, Assembly",1
19397,Spyrius Fold-Wing Spacecraft,71509,Rubber Band Small 13mm (Square Cross Section),1
19399,Spyrius Fold-Wing Spacecraft,72824pr02,Sports Soccer Ball with Official World Cup Ball (Fevernova) Print,1
19405,Spyrius Fold-Wing Spacecraft,973pb0165c01,Torso Soccer Goalie Red Hexagons and No. 1 Front and Back Print / Black Arms / Black Hands,1
19406,Spyrius Fold-Wing Spacecraft,973pb0166c01,Torso Soccer Goalie Gray Hexagons and No. 1 Front and Back Print / Black Arms / Black Hands,1
19407,Spyrius Fold-Wing Spacecraft,973pb0167c01,Torso Soccer Black Fading Stripes and No. 2 Front and Back Print / Red Arms / Yellow Hands,1
19408,Spyrius Fold-Wing Spacecraft,973pb0168c01,Torso Soccer Blue Chevron and No. 2 Front and Back Print / White Arms / Yellow Hands,1
19409,Spyrius Fold-Wing Spacecraft,973pb0169c01,Torso Soccer Black Fading Stripes and No. 4 Front and Back Print / Red Arms / Yellow Hands,1
19410,Spyrius Fold-Wing Spacecraft,973pb0170c01,Torso Soccer Blue Chevron and No. 4 Front and Back Print / White Arms / Yellow Hands,1
19411,Spyrius Fold-Wing Spacecraft,973pb0171c01,Torso Soccer Black Fading Stripes and No. 9 Front and Back Print / Red Arms / Yellow Hands,1
19412,Spyrius Fold-Wing Spacecraft,973pb0172c01,Torso Soccer Blue Chevron and No. 9 Front and Back Print / White Arms / Yellow Hands,1
19413,Spyrius Fold-Wing Spacecraft,973pb0173c01,Torso Soccer Black Fading Stripes and No. 10 Front and Back Print / Red Arms / Yellow Hands,1
19414,Spyrius Fold-Wing Spacecraft,973pb0174c01,Torso Soccer Blue Chevron and No. 10 Front and Back Print / White Arms / Yellow Hands,1
19415,Spyrius Fold-Wing Spacecraft,973pb0175c01,Torso Soccer Black Fading Stripes and No. 11 Front and Back Print / Red Arms / Yellow Hands,1
19416,Spyrius Fold-Wing Spacecraft,973pb0176c01,Torso Soccer Blue Chevron and No. 11 Front and Back Print / White Arms / Yellow Hands,1
19417,Spyrius Fold-Wing Spacecraft,x386,"Sports Net Soccer Goal, Enclosed",1
20576,Meteor Monitor,2847c01,9V Battery Box 4 x 14 x 4 with Dark Gray Base Complete Assembly,1
20611,Meteor Monitor,32126,Technic Axle and Pin Connector Toggle Joint Smooth,1
20646,Meteor Monitor,41753,Rubber Band / Belt Holder 2 x 6 x 2 1/3,1
20647,Meteor Monitor,42090,Monkey Tail - Curled [4094],1
20652,Meteor Monitor,44292,Wheel 30.4 x 20 with 3 Pinholes,1
20653,Meteor Monitor,44486c01,Motor 9V 4 x 4 x 3 1/3 with Dark Gray Base,1
20655,Meteor Monitor,45337c01,Gearbox 3 x 4 x 1 2/3 with Dark Gray Base,1
20656,Meteor Monitor,46224c01,Gearbox 4 x 2 x 4 [Worm / 24Tooth] Dark Gray Centre,1
20658,Meteor Monitor,5306bc162,"Wire with Brick 2 x 2 x 2/3 Pair, 162 Studs Long",1
20670,Meteor Monitor,rb00166,String Cord Thick,1
20671,Meteor Monitor,rb00170,Rubber Band Medium (Square Cross Section),1
54825,Clone Turbo Tank,51269,SPADE,1
54826,Clone Turbo Tank,55886pr0003,Duplo Quad Bike Top 4 x 8 x 2 - Black Handlebars and Yellow Headlights print,1
54827,Clone Turbo Tank,57052,Duplo Car Base 2 x 6 with Four Black Wheels and Flat Silver Hubs,1
54828,Clone Turbo Tank,63710pr0003,Duplo Figure Adult with Red Cap - Tan Top under Blue Coveralls with Red Pocket Flap - Light Flesh Face and Hands - Blue Legs,1
54829,Clone Turbo Tank,6446,Duplo Container Wooden-Style Crate,1
54832,Clone Turbo Tank,88540,"DUPLO BRICK 2X2, DEC. FRUIT",1
60341,Rapid River Village,30370ps3,Minifig Helmet Star Wars Rebel Pilot with Blue Rebel Symbol Print,1
60346,Rapid River Village,3626cpr0631,"Minifig Head Male Stern Black Eyebrows, Pupils and Orange Visor Print [Hollow Stud]",1
60369,Rapid River Village,6179pr0004,Tile Special 4 x 4 with Studs on Edge with Lego Star Wars Logo and 'X-wing Starfighter X-wing Pilot Yavin 4' Print [9677],1
60375,Rapid River Village,973pr1578c01,Torso Rebel Pilot with Flight Suit Print / Orange Arms / Black Hands,1
60376,Rapid River Village,98107pat0001,Hemisphere 11 x 11 - 4 Studs on Top with Marbled Dark Green Yavin 4 Print,1
76953,Mining Truck,3040p33,Slope 45° 2 x 1 with 9 Large + 3 Small White Buttons Print,1
76954,Mining Truck,3044p37,Slope 45° 2 x 1 Double with Double 3 Button Black Print,1
76962,Mining Truck,309p01,Baseplate Road 32 x 32 Service Station with Green Lines Print [9360 / 6378],1
76963,Mining Truck,3135c02,Slope Brick 45° 2 x 3 x 1 &amp; 1/3 Double with Arm and Light Gray Hook crane,1
76984,Mining Truck,3852a,Minifig Hairbrush Long Handle [14mm],1
76989,Mining Truck,3941p01,Brick Round 2 x 2 with Buttons on Black Panel Print on Two Sides,1
76998,Mining Truck,4212b,"Vehicle, Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Smooth Underside, No Center Hole",1
